商品品牌,商品型号,,,
戴尔DELL,3050SFF单主机(i5-7500/8G/1T/2GB独显/Win10),,,
戴尔DELL,3050SFF单主机(i7-7700/16G/256GSSD/2GB独显/Win10),,,
戴尔DELL,成铭3977单主机(G4560/4G/500G/核心显卡HD610/Win10Home),,,
联想/Lenovo,ThinkPadE470(20H1001NCD)14英寸笔记本电脑(i5-7200U/4GB/500GB/2G独显),,,
联想/Lenovo,ThinkPadE470(20H1001RCD)14英寸笔记本电脑(i5-7200U/8GB/500GB/2G独显),,,
联想/Lenovo,ThinkPadE470(20H1001UCD)14英寸笔记本电脑(i7-7500U/8GB/500GB/2G独显),,,
联想/Lenovo,ThinkPadE470(20H1001VCD)14英寸笔记本电脑(i7-7500U/8GB/1TB/2G独显),,,
联想/Lenovo,ThinkPadL47014英寸笔记本电脑(i5-7200U/8G/128GSSD+500G/2G独显/Win10Home),,,
联想/Lenovo,ThinkPadT470(20HD002RCD)14英寸笔记本电脑(i5-7200u/8G/256GSSD/2G独显),,,
联想/Lenovo,ThinkPadT470p(20J6A012CD)14英寸笔记本电脑(i5-7300HQ/8G/500G/2G独显/FHD),,,
联想/Lenovo,ThinkPadX1Carbon(20FBA084CD)14英寸笔记本电脑(i5-6200u/4GB/180GBSSD/intel8260AC/14FHDIPS/Win10),,,
联想/Lenovo,ThinkPadX270(20HNA01HCD)12.5英寸笔记本电脑(i7-7500u/8G/128GSSD+1THDD/集显),,,
联想/Lenovo,ThinkPadX270(20K6A00CCD)12.5英寸笔记本电脑(i3-6006u/4G/1T/集显/Win10),,,
联想/Lenovo,ThinkPadX270(20K6A00WCD)12.5英寸笔记本电脑(i5-6300u/8G/256GSSD/集显/摄像头/0+6芯电池/WinHome),,,
联想/Lenovo,ThinkPadX270(20K6A015CD)12.5英寸笔记本电脑(i5-6300u/8G/1TB/核显HD520/0+6芯电池/Winhome),,,
联想/Lenovo,E75单主机(i3-7100/4GDDR4/500G/1G独显/DVD刻录/Win10Home),,,
联想/Lenovo,ThinkPadX1Carbon(20HRA01BCD)(i5-7200u/8G/256GSSD/集显/FHD/附带HDMI转VGA线),,,
联想/Lenovo,ThinkPadX1Carbon(20HRA01BCD)(i5-7200u/8G/256GSSD/集显/FHD/附带HDMI转VGA线),,,
联想/Lenovo,ThinkPadX1Carbon(20HRA01DCD)(i7-7500u/8G/256GSSD/集显),,,
联想/Lenovo,ThinkPadX1Carbon(20HRA01DCD)(i7-7500u/8G/256GSSD/集显/WinPro),,,
